Textbook,Score
Abn_Barlow_04_Transgender_v2.docx,0.282339091
Abn_Barlow_05_Transgender_v2.docx,-0.049554706
Abn_Barlow_06_Transgender_v2.docx,-0.045714286
Abn_Barlow_07_Transgender_v2.docx,-0.783256667
Abn_Barlow_08_Transgender.docx,-0.57514973
Abn_Brown_05_Transgender.docx,-3.7375
Abn_Comer_05_Transgender_v2.docx,-0.733708421
Abn_Comer_06_Transgender.docx,-0.686601818
Abn_Comer_07_Transgender.docx,0.734033
Abn_Comer_08_Transgender_v2.docx,0.419571364
Abn_Comer_09_Transgender.docx,0.056307324
Abn_Hooley_13_Transgender.docx,-1.198174412
Abn_Hooley_14_Transgender_v2.docx,-0.786217647
Abn_Hooley_15_Transgender_v2.docx,-0.5503184
Abn_Hooley_16_Transgender_v2.docx,-1.225869655
Abn_Hooley_17_Transgender.docx,-0.4815
Abn_Kearney_06_Transgender.docx,-1.799914286
Abn_Mash_02_Transgender.docx,0.783589231
Abn_Mash_05_Transgender.docx,0.560496667
Abn_Mash_06_Transgender.docx,0.642363617
Abn_Nevid_08_Transgender_v2.docx,0.496885
Abn_Nevid_09_Transgender.docx,0.018584857
Abn_Nevid_10_Transgender.docx,-0.061619099
Abn_Nolen-Hoeksema_03_Transgender.docx,-1.707917778
Abn_Nolen-Hoeksema_04_Transgender.docx,-2.64574125
Abn_Nolen-Hoeksema_05_Transgender.docx,-1.957757778
Abn_Nolen-Hoeksema_06_Transgender.docx,-0.275795
Abn_Nolen-Hoeksema_07_Transgender.docx,0.517085224
Abn_Sue_07_Transgender_v2.docx,-1.702930952
Abn_Sue_08_Transgender_v2.docx,-1.199746
Abn_Sue_09_Transgender_v2.docx,-0.2463555
Abn_Sue_10_Transgender_v2.docx,-0.030917561
Abn_Sue_11_Transgender.docx,0.475537054
Abn_Whitbourne_04_Transgender.docx,-1.115838
Abn_Whitbourne_05_Transgender_v2.docx,-0.210458
Abn_Whitbourne_06_Transgender.docx,1.53922
Abn_Whitbourne_07_Transgender_v2.docx,0.80505
Abn_Whitbourne_08_Transgender.docx,1.059106875
Devo_Berger_05_Transgender.docx,0.534619333
Devo_Berger_06_Transgender.docx,0.7794
Devo_Berger_07_Transgender.docx,0.678986
Devo_Berger_08_Transgender.docx,0.439050793
Devo_Berger_09_Transgender.docx,0.493844118
Devo_Berger_10_Transgender.docx,0.304058704
Devo_Berk_08_Transgender.docx,0.643227615
Devo_Bornstein_02_Transgender.docx,0.63729
Devo_Bornstein_04_Transgender_v2.docx,0.315241111
Devo_Bornstein_05_Transgender_v2.docx,1.485668462
Devo_Bornstein_07_Transgender.docx,1.493201094
Devo_Feldman_03_Transgender.docx,1.005606667
Devo_Feldman_04_Transgender_v2.docx,0.48354027
Devo_Feldman_05_Transgender_v2.docx,0.762567429
Devo_Feldman_06_Transgender_v2.docx,0.385767808
Devo_Feldman_07_Transgender.docx,0.421278633
Devo_Feldman_08_Transgender.docx,0.853922946
Devo_Gonzalez-Mena_10_Transgender.docx,0
Devo_Gonzalez-Mena_11_Transgender.docx,1.798542941
Devo_Kail_02_Transgender.docx,0.393899643
Devo_Kail_05_Transgender.docx,0.81565
Devo_Kail_06_Transgender.docx,0.4100757
Devo_Kail_07_Transgender.docx,0.452515785
Devo_Miller_06_Transgender.docx,1.67507
Devo_Newman_08_Transgender.docx,1.85322
Devo_Newman_09_Transgender.docx,1.099925385
Devo_Newman_10_Transgender_v2.docx,1.323716625
Devo_Newman_11_Transgender.docx,1.186817959
Devo_Newman_12_Transgender.docx,1.23302125
Devo_Newman_13_Transgender.docx,1.489170049
Devo_Santrock_11_Transgender.docx,0.533202
Devo_Santrock_12_Transgender.docx,0.638333818
Devo_Santrock_13_Transgender.docx,0.395172063
Devo_Santrock_14_Transgender.docx,0.318752791
Devo_Santrock_15_Transgender_V2.docx,-0.574625
Devo_Santrock_16_Transgender.docx,0.504638421
Devo_Sigelman_05_Transgender.docx,1.0563064
Devo_Sigelman_07_Transgender.docx,0.093093714
Devo_Sigelman_08_Transgender.docx,0.315978919
Devo_Sigelman_09_Transgender.docx,0.910362321
GS_Andersen_07_Transgender_v2.docx,0.959643538
GS_Andersen_08_Transgender_v2.docx,0.892163831
GS_Andersen_09_Transgender.docx,0.991285331
GS_Brannon_05_Transgender_v2.docx,1.362634
GS_Brannon_06_Transgender.docx,1.140889298
GS_Brannon_07_Transgender.docx,0.61568626
GS_Healey_03_Transgender_v2.docx,-0.081942895
GS_Healey_04_Transgender.docx,-0.06146675
GS_Healey_05_Transgender.docx,0.453271735
GS_Helgeson_03_Transgender_v2.docx,1.18499413
GS_Helgeson_04_Transgender_v2.docx,0.689395455
GS_Helgeson_05_Transgender.docx,0.858742762
GS_Kimmel_04_Transgender_v2.docx,-0.039831913
GS_Kimmel_05_Transgender_v2.docx,0.455506084
GS_Kimmel_06_Transgender.docx,0.244189467
GS_Newman_01_Transgender_v2.docx,0.248270696
GS_Newman_02_Transgender_v2.docx,0.53989466
GS_Newman_03_Transgender.docx,0.304402763
GS_Robinson_02_Transgender.docx,0.933865541
GS_Robinson_03_Transgender_v2.docx,1.755322821
GS_Robinson_04_Transgender.docx,1.361194466
GS_Rothenberg_08_Transgender_v2.docx,0.03685974
GS_Rothenberg_09_Transgender_v2.docx,0.076218718
GS_Rothenberg_10_Transgender.docx,-0.268384899
GS_Wood_10_Transgender_v2.docx,1.290917285
GS_Wood_11_Transgender_v2.docx,0.874410458
GS_Wood_12_Transgender.docx,1.202468281
HS_Carroll_03_Transgender.docx,0.0004328
HS_Carroll_04_Transgender.docx,0.681264487
HS_Carroll_05_Transgender.docx,0.690155
HS_Crooks_11_Transgender.docx,0.807768182
HS_Crooks_12_Transgender_v2.docx,0.65619963
HS_Crooks_13_Transgender.docx,0.793616023
HS_Greenberg_04_Transgender.docx,0.766747887
HS_Greenberg_05_Transgender_v2.docx,0.558545833
HS_Greenberg_06_Transgender.docx,0.761232132
HS_Hock_02_Transgender.docx,1.089497925
HS_Hock_03_Transgender.docx,1.222232222
HS_Hock_04_Transgender.docx,0.704260777
HS_Hyde_11_Transgender_v2.docx,0.326885234
