Textbook,Score
Abn_Barlow_04_Transgender_v2.docx,0.122240588
Abn_Barlow_05_Transgender_v2.docx,0.108438768
Abn_Barlow_06_Transgender_v2.docx,0.19943222
Abn_Barlow_07_Transgender_v2.docx,0.332798457
Abn_Barlow_08_Transgender.docx,0.173148241
Abn_Brown_05_Transgender.docx,0.095719096
Abn_Comer_05_Transgender_v2.docx,0.063797917
Abn_Comer_06_Transgender.docx,0.135655478
Abn_Comer_07_Transgender.docx,0.152679349
Abn_Comer_08_Transgender_v2.docx,0.066487503
Abn_Comer_09_Transgender.docx,0.137549466
Abn_Hooley_13_Transgender.docx,0.140792372
Abn_Hooley_14_Transgender_v2.docx,0.100939783
Abn_Hooley_15_Transgender_v2.docx,0.247068935
Abn_Hooley_16_Transgender_v2.docx,0.243793008
Abn_Hooley_17_Transgender.docx,0.096164511
Abn_Kearney_06_Transgender.docx,0.171036969
Abn_Mash_02_Transgender.docx,0.000276326
Abn_Mash_05_Transgender.docx,-0.051027397
Abn_Mash_06_Transgender.docx,0.068741521
Abn_Nevid_08_Transgender_v2.docx,0.180306542
Abn_Nevid_09_Transgender.docx,-0.00139788
Abn_Nevid_10_Transgender.docx,0.105177918
Abn_Nolen-Hoeksema_03_Transgender.docx,0.203592504
Abn_Nolen-Hoeksema_04_Transgender.docx,0.121329306
Abn_Nolen-Hoeksema_05_Transgender.docx,0.119965835
Abn_Nolen-Hoeksema_06_Transgender.docx,0.283615045
Abn_Nolen-Hoeksema_07_Transgender.docx,0.181207822
Abn_Sue_07_Transgender_v2.docx,0.14213975
Abn_Sue_08_Transgender_v2.docx,0.093671086
Abn_Sue_09_Transgender_v2.docx,0.087199833
Abn_Sue_10_Transgender_v2.docx,0.060051895
Abn_Sue_11_Transgender.docx,0.072113841
Abn_Whitbourne_04_Transgender.docx,0.171846058
Abn_Whitbourne_05_Transgender_v2.docx,0.268284715
Abn_Whitbourne_06_Transgender.docx,0.09352238
Abn_Whitbourne_07_Transgender_v2.docx,0.174658693
Abn_Whitbourne_08_Transgender.docx,0.201921163
Devo_Berger_05_Transgender.docx,0.310197465
Devo_Berger_06_Transgender.docx,-0.102390572
Devo_Berger_07_Transgender.docx,0.38399066
Devo_Berger_08_Transgender.docx,0.387495827
Devo_Berger_09_Transgender.docx,0.37614739
Devo_Berger_10_Transgender.docx,0.342016269
Devo_Berk_08_Transgender.docx,0.384268552
Devo_Bornstein_02_Transgender.docx,0.431570421
Devo_Bornstein_04_Transgender_v2.docx,0.341609879
Devo_Bornstein_05_Transgender_v2.docx,0.411938432
Devo_Bornstein_07_Transgender.docx,0.421672001
Devo_Feldman_03_Transgender.docx,0.3342672
Devo_Feldman_04_Transgender_v2.docx,0.354218495
Devo_Feldman_05_Transgender_v2.docx,0.321224478
Devo_Feldman_06_Transgender_v2.docx,0.311234409
Devo_Feldman_07_Transgender.docx,0.326973836
Devo_Feldman_08_Transgender.docx,0.314894868
Devo_Gonzalez-Mena_10_Transgender.docx,0.915824916
Devo_Gonzalez-Mena_11_Transgender.docx,0.541410236
Devo_Kail_02_Transgender.docx,0.356007265
Devo_Kail_05_Transgender.docx,0.4169524
Devo_Kail_06_Transgender.docx,0.409880777
Devo_Kail_07_Transgender.docx,0.393668582
Devo_Miller_06_Transgender.docx,0.449376344
Devo_Newman_08_Transgender.docx,0.372846294
Devo_Newman_09_Transgender.docx,0.439756868
Devo_Newman_10_Transgender_v2.docx,0.520120089
Devo_Newman_11_Transgender.docx,0.472887501
Devo_Newman_12_Transgender.docx,0.491313553
Devo_Newman_13_Transgender.docx,0.458851499
Devo_Santrock_11_Transgender.docx,0.421820545
Devo_Santrock_12_Transgender.docx,0.30376207
Devo_Santrock_13_Transgender.docx,0.328521584
Devo_Santrock_14_Transgender.docx,0.320703251
Devo_Santrock_15_Transgender_V2.docx,0.351985961
Devo_Santrock_16_Transgender.docx,0.300056844
Devo_Sigelman_05_Transgender.docx,0.444304592
Devo_Sigelman_07_Transgender.docx,0.365848392
Devo_Sigelman_08_Transgender.docx,0.404044037
Devo_Sigelman_09_Transgender.docx,0.365288433
GS_Andersen_07_Transgender_v2.docx,0.323836307
GS_Andersen_08_Transgender_v2.docx,0.303616321
GS_Andersen_09_Transgender.docx,0.27915892
GS_Brannon_05_Transgender_v2.docx,0.260957244
GS_Brannon_06_Transgender.docx,0.249898648
GS_Brannon_07_Transgender.docx,0.291817861
GS_Healey_03_Transgender_v2.docx,0.25319953
GS_Healey_04_Transgender.docx,0.267412824
GS_Healey_05_Transgender.docx,0.275852212
GS_Helgeson_03_Transgender_v2.docx,0.304881807
GS_Helgeson_04_Transgender_v2.docx,0.322778209
GS_Helgeson_05_Transgender.docx,0.29330188
GS_Kimmel_04_Transgender_v2.docx,0.306485997
GS_Kimmel_05_Transgender_v2.docx,0.273682949
GS_Kimmel_06_Transgender.docx,0.285038729
GS_Newman_01_Transgender_v2.docx,0.317651529
GS_Newman_02_Transgender_v2.docx,0.327986491
