Textbook,Score
Abn_Barlow_04_Autism_v2.docx,-0.074292078
Abn_Barlow_05_Autism_v2.docx,-0.068764569
Abn_Barlow_06_Autism_v2.docx,-0.064456343
Abn_Barlow_07_Autism.docx,-0.020403377
Abn_Barlow_08_Autism.docx,-0.042783505
Abn_Brown_01_Autism_v2.docx,-0.166942149
Abn_Brown_02_Autism_v2.docx,-0.169002695
Abn_Brown_03_Autism_v2.docx,-0.174729653
Abn_Brown_04_Autism_v2.docx,-0.163561644
Abn_Brown_05_Autism.docx,-0.00501952
Abn_Comer_05_Autism_v2.docx,-0.045485872
Abn_Comer_06_Autism_v2.docx,-0.039535883
Abn_Comer_07_Autism_v2.docx,-0.035566584
Abn_Comer_08_Autism_v2.docx,-0.086189516
Abn_Comer_09_Autism.docx,-0.082930757
Abn_Hooley_13_Autism_v2.docx,-0.166286366
Abn_Hooley_14_Autism_v2.docx,-0.171893848
Abn_Hooley_15_Autism_v2.docx,-0.109423275
Abn_Hooley_16_Autism_v2.docx,-0.12
Abn_Hooley_17_Autism.docx,-0.097536703
Abn_Kearney_06_Autism.docx,-0.079145729
Abn_Mash_02_Autism_v2.docx,-0.048008007
Abn_Mash_03_Autism_v2.docx,-0.052795511
Abn_Mash_04_Autism_v2.docx,-0.054012969
Abn_Mash_05_Autism_v2.docx,0.001877956
Abn_Mash_06_Autism.docx,-0.009782105
Abn_Nevid_06_Autism_v2.docx,-0.0878327
Abn_Nevid_07_Autism.docx,-0.071996028
Abn_Nevid_08_Autism_v2.docx,-0.07486631
Abn_Nevid_09_Autism_v2.docx,-0.069781195
Abn_Nevid_10_Autism.docx,-0.105561459
Abn_Nolen-Hoeksema_03_Autism_v2.docx,-0.125973304
Abn_Nolen-Hoeksema_04_Autism.docx,-0.054790026
Abn_Nolen-Hoeksema_05_Autism_v2.docx,-0.066630553
Abn_Nolen-Hoeksema_06_Autism_v2.docx,-0.084352865
Abn_Nolen-Hoeksema_07_Autism.docx,-0.132662397
Abn_Sue_07_Autism_v2.docx,-0.159608541
Abn_Sue_08_Autism_v2.docx,-0.146757114
Abn_Sue_09_Autism_v2.docx,-0.163934426
Abn_Sue_10_Autism_v2.docx,-0.054994388
Abn_Sue_11_Autism.docx,-0.043972332
Abn_Whitbourne_04_Autism_v2.docx,-0.127187865
Abn_Whitbourne_05_Autism_v2.docx,-0.133995037
Abn_Whitbourne_06_Autism_v2.docx,-0.112427931
Abn_Whitbourne_07_Autism_v2.docx,-0.049816626
Abn_Whitbourne_08_Autism.docx,-0.074959699
Devo_Berger_05_Autism.docx,-0.116191904
Devo_Berger_06_Autism_v2.docx,-0.172727273
Devo_Berger_07_Autism.docx,-0.191958495
Devo_Berger_08_Autism.docx,-0.231707317
Devo_Berger_09_Autism.docx,-0.197795824
Devo_Berger_10_Autism.docx,-0.114050304
Devo_Berk_03_Autism.docx,-0.129850746
Devo_Berk_04_Autism.docx,-0.158602151
Devo_Berk_05_Autism.docx,-0.092421442
Devo_Berk_06_Autism.docx,-0.045945946
Devo_Berk_07_Autism.docx,-0.0184
Devo_Berk_08_Autism.docx,-0.024461028
Devo_Bornstein_02_Autism.docx,-0.055737705
Devo_Bornstein_03_Autism.docx,-0.049815498
Devo_Bornstein_04_Autism.docx,-0.161290323
Devo_Bornstein_05_Autism.docx,-0.103448276
Devo_Bornstein_06_Autism.docx,-0.1
Devo_Bornstein_07_Autism.docx,0.009756098
Devo_Feldman_04_Autism.docx,-0.436708861
Devo_Feldman_05_Autism.docx,-0.251851852
Devo_Feldman_06_Autism.docx,-0.136538462
Devo_Feldman_07_Autism.docx,-0.113065327
Devo_Feldman_08_Autism.docx,-0.179166667
Devo_Kail_07_Autism.docx,0.021317829
Devo_Miller_06_Autism.docx,0.062998405
Devo_Newman_13_Autism.docx,-0.023498695
Devo_Santrock_12_Autism_v2.docx,-0.264261745
Devo_Santrock_13_Autism_v2.docx,-0.196078431
Devo_Santrock_14_Autism_v2.docx,-0.206451613
Devo_Santrock_15_Autism.docx,-0.222155689
Devo_Santrock_16_Autism.docx,-0.149537792
Devo_Sigelman_04_Autism_v2.docx,-0.091137649
Devo_Sigelman_05_Autism.docx,-0.072947431
Devo_Sigelman_06_Autism.docx,-0.065577889
Devo_Sigelman_07_Autism.docx,-0.048726738
Devo_Sigelman_08_Autism.docx,-0.061170213
Devo_Sigelman_09_Autism.docx,-0.043440105
Intro_Bernstein_06_Autism.docx,-0.204797048
Intro_Bernstein_07_Autism_v2.docx,-0.222419929
Intro_Bernstein_08_Autism.docx,-0.280254777
Intro_Bernstein_09_Autism_v2.docx,-0.108695652
Intro_Bernstein_10_Autism.docx,-0.105527638
Intro_Coon_10_Autism.docx,-0.301038062
Intro_Coon_11_Autism.docx,-0.284313725
Intro_Coon_13_Autism_v2.docx,-0.261682243
Intro_Coon_14_Autism.docx,-0.044665012
Intro_Griggs_03_Autism.docx,0.01119403
Intro_Griggs_04_Autism.docx,0.105590062
Intro_Griggs_05_Autism.docx,0.103030303
Intro_Kalat_09_Autism.docx,-0.130081301
Intro_Kalat_10_Autism.docx,-0.103321033
Intro_Kalat_11_Autism.docx,-0.190140845
Intro_Morris_07_Autism.docx,-0.231927711
Intro_Morris_08_Autism.docx,-0.260273973
Intro_Morris_09_Autism.docx,-0.296641791
Intro_Morris_10_Autism.docx,-0.194940476
Intro_Morris_11_Autism.docx,-0.066765579
Intro_Myers_07_Autism_v2.docx,0.044753086
Intro_Myers_08_Autism.docx,-0.074013158
Intro_Myers_09_Autism.docx,-0.1
Intro_Myers_10_Autism.docx,-0.082214765
Intro_Myers_11_Autism.docx,-0.018404908
Intro_Rathus_05_Autism.docx,0.015625
Intro_Wade_08_Autism.docx,-0.140138408
Intro_Wade_12_Autism.docx,-0.044176353
Intro_Weiten_06_Autism.docx,-0.080645161
Intro_Weiten_08_Autism.docx,0.042735043
Intro_Weiten_10_Autism.docx,-0.120672566
Neuro_Bear_03_Autism.docx,-0.204545455
Neuro_Bear_04_Autism.docx,-0.036308623
Neuro_Breedlove_05_Autism.docx,-0.06851312
Neuro_Breedlove_06_Autism.docx,-0.060294118
Neuro_Breedlove_07_Autism_v2.docx,-0.052742616
Neuro_Breedlove_08_Autism.docx,-0.109848485
Neuro_Carlson_09_Autism.docx,-0.144438547
Neuro_Carlson_10_Autism_v2.docx,-0.13581694
Neuro_Carlson_11_Autism_v2.docx,-0.137400631
Neuro_Carlson_12_Autism.docx,-0.047869904
Neuro_Garrett_02_Autism.docx,-0.065806452
Neuro_Garrett_03_Autism.docx,-0.052056882
Neuro_Garrett_04_Autism_v2.docx,-0.063554556
Neuro_Garrett_05_Autism.docx,-0.04378882
Neuro_Johnson_01_Autism.docx,-0.075949367
Neuro_Johnson_02_Autism_v2.docx,-0.068894952
Neuro_Johnson_03_Autism.docx,-0.060090703
Neuro_Johnson_04_Autism.docx,-0.046026987
Neuro_Kalat_10_Autism.docx,0.049180328
Neuro_Kalat_11_Autism.docx,0
Neuro_Kalat_12_Autism.docx,-0.102898551
Neuro_Kolb_04_Autism.docx,-0.129716981
Neuro_Kolb_05_Autism.docx,-0.096745027
Neuro_Kolb_06_Autism_v2.docx,-0.114832536
Neuro_Kolb_07_Autism.docx,-0.050321826
Neuro_Pinel_07_Autism.docx,-0.109661836
Neuro_Pinel_08_Autism.docx,-0.127762431
Neuro_Pinel_09_Autism.docx,-0.121273713
Neuro_Pinel_10_Autism.docx,-0.002317497
Neuro_Reisberg_06_Autism.docx,0.019230769
Socl_Aronson_08_Autism.docx,-0.06779661
Socl_Aronson_09_Autism.docx,-0.086021505
Socl_Baumeister_04_Autism.docx,-0.103723404
Socl_Branscombe_14_Autism.docx,-0.0703125
Socl_Gilovich_02_Autism.docx,-0.105072464
Socl_Gilovich_03_Autism.docx,0.147887324
Socl_Gilovich_04_Autism.docx,-0.003401361
Socl_Gruman_03_Autism.docx,0.061576355
Socl_Myers_12_Autism.docx,-0.074468085
Socl_Rogers_02_Autism.docx,-0.055825243
Socl_Rogers_03_Autism.docx,-0.078413284
Socl_Rogers_04_Autism.docx,-0.051328502
Socl_Zastrow_08_Autism.docx,-0.334507042
Socl_Zastrow_09_Autism.docx,-0.312977099
Socl_Zastrow_10_Autism.docx,-0.306686047
Spcl_Friend_01_Autism_v2.docx,-0.048682386
Spcl_Friend_02_Autism_v2.docx,-0.046920821
Spcl_Friend_03_Autism_v2.docx,-0.049834127
Spcl_Friend_04_Autism_v2.docx,-0.044715447
Spcl_Friend_05_Autism.docx,-0.015372705
Spcl_Gargiulo_02_Autism_v2.docx,-0.06261571
Spcl_Gargiulo_03_Autism_v2.docx,-0.061751564
Spcl_Gargiulo_04_Autism.docx,-0.058028861
Spcl_Gargiulo_05_Autism_v2.docx,-0.060479772
Spcl_Gargiulo_06_Autism.docx,-0.075717654
Spcl_Hardman_08_Autism_v2.docx,-0.04370225
Spcl_Hardman_09_Autism_v2.docx,-0.050346221
Spcl_Hardman_10_Autism_v2.docx,-0.067434712
Spcl_Hardman_11_Autism.docx,-0.024324751
Spcl_Hardman_12_Autism.docx,-0.005323396
Spcl_Heward_07_Autism.docx,-0.068814969
Spcl_Heward_08_Autism_v2.docx,-0.037774817
Spcl_Heward_09_Autism_v2.docx,-0.032972116
Spcl_Heward_10_Autism_v2.docx,-0.024985245
Spcl_Heward_11_Autism.docx,-0.021120582
Spcl_Kuder_01_Autism_v2.docx,-0.120787973
Spcl_Kuder_02_Autism_v2.docx,-0.107590447
Spcl_Kuder_03_Autism_v2.docx,-0.082176521
Spcl_Kuder_04_Autism_v2.docx,-0.083551598
Spcl_Kuder_05_Autism.docx,-0.050601281
Spcl_Lewis_05_Autism.docx,-0.082972583
Spcl_Lewis_06_Autism.docx,-0.079353933
Spcl_Lewis_07_Autism_v2.docx,-0.012479475
Spcl_Lewis_08_Autism.docx,-0.000229253
Spcl_Lewis_09_Autism.docx,0.054124418
Spcl_Overton_04_Autism.docx,-0.023809524
Spcl_Overton_06_Autism.docx,-0.07152231
Spcl_Overton_07_Autism.docx,-0.092258065
Spcl_Overton_08_Autism.docx,-0.052803129
Spcl_Smith_03_Autism_v2.docx,-0.048780488
Spcl_Smith_04_Autism_v2.docx,-0.036010476
Spcl_Smith_05_Autism_v2.docx,-0.001586117
Spcl_Smith_06_Autism_v2.docx,0.008956196
Spcl_Smith_07_Autism_v2.docx,0.004073496
Spcl_Turnbull_04_Autism_v2.docx,-0.039591978
Spcl_Turnbull_05_Autism_v2.docx,-0.008543531
Spcl_Turnbull_06_Autism_v2.docx,0.017362083
Spcl_Turnbull_07_Autism_v2.docx,-0.018542829
Spcl_Turnbull_08_Autism.docx,-0.03126935
Spcl_Vaughn_03_Autism_v2.docx,-0.062167906
Spcl_Vaughn_04_Autism_v2.docx,0.038126993
Spcl_Vaughn_05_Autism_v2.docx,0.033768516
Spcl_Vaughn_06_Autism_v2.docx,0.038601953
Spcl_Vaughn_07_Autism.docx,0.023382621
