Textbook,Score
Abn_Barlow_04_Autism_v2.docx,-1.067902626
Abn_Barlow_05_Autism_v2.docx,-1.20189358
Abn_Barlow_06_Autism_v2.docx,-1.142121549
Abn_Barlow_07_Autism.docx,-0.293994583
Abn_Barlow_08_Autism.docx,0.26789068
Abn_Brown_01_Autism_v2.docx,-0.556688378
Abn_Brown_02_Autism_v2.docx,-0.929774031
Abn_Brown_03_Autism_v2.docx,-0.847708966
Abn_Brown_04_Autism_v2.docx,-0.961356364
Abn_Brown_05_Autism.docx,-1.2641356
Abn_Comer_05_Autism_v2.docx,-0.148297895
Abn_Comer_06_Autism_v2.docx,-0.482429589
Abn_Comer_07_Autism_v2.docx,-0.414805467
Abn_Comer_08_Autism_v2.docx,0.252556727
Abn_Comer_09_Autism.docx,0.267597206
Abn_Hooley_13_Autism_v2.docx,-2.338434255
Abn_Hooley_14_Autism_v2.docx,-1.991536667
Abn_Hooley_15_Autism_v2.docx,-1.873063162
Abn_Hooley_16_Autism_v2.docx,-1.236845143
Abn_Hooley_17_Autism.docx,-1.011205
Abn_Kearney_06_Autism.docx,0.141961667
Abn_Mash_02_Autism_v2.docx,-0.14143237
Abn_Mash_03_Autism_v2.docx,-0.381445048
Abn_Mash_04_Autism_v2.docx,-0.175667412
Abn_Mash_05_Autism_v2.docx,0.302768544
Abn_Mash_06_Autism.docx,0.203416269
Abn_Nevid_06_Autism_v2.docx,-1.036704688
Abn_Nevid_07_Autism.docx,-1.134403287
Abn_Nevid_08_Autism_v2.docx,-1.227368
Abn_Nevid_09_Autism_v2.docx,-0.49582641
Abn_Nevid_10_Autism.docx,-0.16870973
Abn_Nolen-Hoeksema_03_Autism_v2.docx,-0.67329925
Abn_Nolen-Hoeksema_04_Autism.docx,-0.463655476
Abn_Nolen-Hoeksema_05_Autism_v2.docx,-1.254833067
Abn_Nolen-Hoeksema_06_Autism_v2.docx,-0.201161034
Abn_Nolen-Hoeksema_07_Autism.docx,-0.503063585
Abn_Sue_07_Autism_v2.docx,-0.942765735
Abn_Sue_08_Autism_v2.docx,-0.900776316
Abn_Sue_09_Autism_v2.docx,-1.258414353
Abn_Sue_10_Autism_v2.docx,-0.401659194
Abn_Sue_11_Autism.docx,0.008145765
Abn_Whitbourne_04_Autism_v2.docx,-0.677010323
Abn_Whitbourne_05_Autism_v2.docx,-0.97452625
Abn_Whitbourne_06_Autism_v2.docx,-0.817274375
Abn_Whitbourne_07_Autism_v2.docx,0.333950829
Abn_Whitbourne_08_Autism.docx,0.3759154
Devo_Berger_05_Autism.docx,-0.138340526
Devo_Berger_06_Autism_v2.docx,-0.758895
Devo_Berger_07_Autism.docx,-0.536877407
Devo_Berger_08_Autism.docx,-1.4410045
Devo_Berger_09_Autism.docx,-0.909532187
Devo_Berger_10_Autism.docx,0.210282353
Devo_Berk_03_Autism.docx,-1.6170675
Devo_Berk_04_Autism.docx,-0.875723333
Devo_Berk_05_Autism.docx,-0.816264667
Devo_Berk_06_Autism.docx,-1.94452
Devo_Berk_07_Autism.docx,-1.551994615
Devo_Berk_08_Autism.docx,-0.3138675
Devo_Bornstein_02_Autism.docx,-1.867855
Devo_Bornstein_03_Autism.docx,-2.441956
Devo_Bornstein_04_Autism.docx,-1.108525
Devo_Bornstein_05_Autism.docx,2.75672
Devo_Bornstein_06_Autism.docx,1.662155
Devo_Bornstein_07_Autism.docx,2.327067143
Devo_Feldman_04_Autism.docx,-0.48273
Devo_Feldman_05_Autism.docx,0.9117775
Devo_Feldman_06_Autism.docx,-0.064506923
Devo_Feldman_07_Autism.docx,1.895872222
Devo_Feldman_08_Autism.docx,0.861085
