,Textbook,Score,Author,Field
0,Abn_Barlow_04_Autism_v2.docx,0.232748675,Barlow,Abn
1,Abn_Barlow_05_Autism_v2.docx,0.238853077,Barlow,Abn
2,Abn_Barlow_06_Autism_v2.docx,0.215774201,Barlow,Abn
3,Abn_Barlow_07_Autism.docx,0.199670996,Barlow,Abn
4,Abn_Barlow_08_Autism.docx,0.219602971,Barlow,Abn
5,Abn_Brown_01_Autism_v2.docx,0.122210565,Brown,Abn
6,Abn_Brown_02_Autism_v2.docx,0.117930007,Brown,Abn
7,Abn_Brown_03_Autism_v2.docx,0.090663781,Brown,Abn
8,Abn_Brown_04_Autism_v2.docx,0.121320719,Brown,Abn
9,Abn_Brown_05_Autism.docx,0.185899895,Brown,Abn
10,Abn_Comer_05_Autism_v2.docx,0.23763808,Comer,Abn
11,Abn_Comer_06_Autism_v2.docx,0.299710684,Comer,Abn
12,Abn_Comer_07_Autism_v2.docx,0.28365153,Comer,Abn
13,Abn_Comer_08_Autism_v2.docx,0.244375489,Comer,Abn
14,Abn_Comer_09_Autism.docx,0.234504932,Comer,Abn
15,Abn_Hooley_13_Autism_v2.docx,0.188551577,Hooley,Abn
16,Abn_Hooley_14_Autism_v2.docx,0.200003575,Hooley,Abn
17,Abn_Hooley_15_Autism_v2.docx,0.197083216,Hooley,Abn
18,Abn_Hooley_16_Autism_v2.docx,0.21964331,Hooley,Abn
19,Abn_Hooley_17_Autism.docx,0.047881004,Hooley,Abn
20,Abn_Kearney_06_Autism.docx,0.172808205,Kearney,Abn
21,Abn_Mash_02_Autism_v2.docx,0.2624242,Mash,Abn
22,Abn_Mash_03_Autism_v2.docx,0.258107645,Mash,Abn
23,Abn_Mash_04_Autism_v2.docx,0.244818946,Mash,Abn
24,Abn_Mash_05_Autism_v2.docx,0.243893174,Mash,Abn
25,Abn_Mash_06_Autism.docx,0.204583803,Mash,Abn
26,Abn_Nevid_06_Autism_v2.docx,0.152292929,Nevid,Abn
27,Abn_Nevid_07_Autism.docx,0.125790548,Nevid,Abn
28,Abn_Nevid_08_Autism_v2.docx,0.166305561,Nevid,Abn
29,Abn_Nevid_09_Autism_v2.docx,0.19358237,Nevid,Abn
30,Abn_Nevid_10_Autism.docx,0.081755332,Nevid,Abn
31,Abn_Nolen-Hoeksema_03_Autism_v2.docx,0.276233291,Nolen-Hoeksema,Abn
32,Abn_Nolen-Hoeksema_04_Autism.docx,0.24680879,Nolen-Hoeksema,Abn
33,Abn_Nolen-Hoeksema_05_Autism_v2.docx,0.187501372,Nolen-Hoeksema,Abn
34,Abn_Nolen-Hoeksema_06_Autism_v2.docx,0.120543058,Nolen-Hoeksema,Abn
35,Abn_Nolen-Hoeksema_07_Autism.docx,-0.012944474,Nolen-Hoeksema,Abn
36,Abn_Sue_07_Autism_v2.docx,0.034464722,Sue,Abn
37,Abn_Sue_08_Autism_v2.docx,0.057947956,Sue,Abn
38,Abn_Sue_09_Autism_v2.docx,0.018600402,Sue,Abn
39,Abn_Sue_10_Autism_v2.docx,0.245830026,Sue,Abn
40,Abn_Sue_11_Autism.docx,0.188237814,Sue,Abn
41,Abn_Whitbourne_04_Autism_v2.docx,0.192620088,Whitbourne,Abn
42,Abn_Whitbourne_05_Autism_v2.docx,0.158202249,Whitbourne,Abn
43,Abn_Whitbourne_06_Autism_v2.docx,0.202682704,Whitbourne,Abn
44,Abn_Whitbourne_07_Autism_v2.docx,0.250379029,Whitbourne,Abn
45,Abn_Whitbourne_08_Autism.docx,0.226390014,Whitbourne,Abn
46,Devo_Berger_05_Autism.docx,0.2568249,Berger,Devo
47,Devo_Berger_06_Autism_v2.docx,0.164528899,Berger,Devo
48,Devo_Berger_07_Autism.docx,0.224439753,Berger,Devo
49,Devo_Berger_08_Autism.docx,0.155873039,Berger,Devo
50,Devo_Berger_09_Autism.docx,0.14075331,Berger,Devo
51,Devo_Berger_10_Autism.docx,0.16094426,Berger,Devo
52,Devo_Berk_03_Autism.docx,0.178938286,Berk,Devo
53,Devo_Berk_04_Autism.docx,0.132270741,Berk,Devo
54,Devo_Berk_05_Autism.docx,0.225237984,Berk,Devo
55,Devo_Berk_06_Autism.docx,0.268212855,Berk,Devo
56,Devo_Berk_07_Autism.docx,0.266788346,Berk,Devo
57,Devo_Berk_08_Autism.docx,0.267628708,Berk,Devo
58,Devo_Bornstein_02_Autism.docx,0.085581846,Bornstein,Devo
59,Devo_Bornstein_03_Autism.docx,0.101628252,Bornstein,Devo
60,Devo_Bornstein_04_Autism.docx,0.191111111,Bornstein,Devo
61,Devo_Bornstein_05_Autism.docx,0.217872386,Bornstein,Devo
62,Devo_Bornstein_06_Autism.docx,0.204277469,Bornstein,Devo
63,Devo_Bornstein_07_Autism.docx,0.327925882,Bornstein,Devo
64,Devo_Feldman_04_Autism.docx,-0.106203931,Feldman,Devo
65,Devo_Feldman_05_Autism.docx,0.16483735,Feldman,Devo
66,Devo_Feldman_06_Autism.docx,0.111134626,Feldman,Devo
67,Devo_Feldman_07_Autism.docx,0.193246602,Feldman,Devo
68,Devo_Feldman_08_Autism.docx,0.023238179,Feldman,Devo
69,Devo_Kail_07_Autism.docx,0.312331313,Kail,Devo
70,Devo_Miller_06_Autism.docx,0.307053628,Miller,Devo
71,Devo_Newman_13_Autism.docx,0.189318719,Newman,Devo
72,Devo_Santrock_12_Autism_v2.docx,-0.035079312,Santrock,Devo
73,Devo_Santrock_13_Autism_v2.docx,0.065867693,Santrock,Devo
74,Devo_Santrock_14_Autism_v2.docx,0.036163175,Santrock,Devo
75,Devo_Santrock_15_Autism.docx,0.035633753,Santrock,Devo
76,Devo_Santrock_16_Autism.docx,0.134395293,Santrock,Devo
77,Devo_Sigelman_04_Autism_v2.docx,0.284777047,Sigelman,Devo
78,Devo_Sigelman_05_Autism.docx,0.29939699,Sigelman,Devo
79,Devo_Sigelman_06_Autism.docx,0.27181762,Sigelman,Devo
80,Devo_Sigelman_07_Autism.docx,0.295558832,Sigelman,Devo
81,Devo_Sigelman_08_Autism.docx,0.275028903,Sigelman,Devo
82,Devo_Sigelman_09_Autism.docx,0.289095521,Sigelman,Devo
83,GS_Newman_03_Autism.docx,0.09539627,Newman,GS
84,GS_Rothenberg_10_Autism.docx,0.446141975,Rothenberg,GS
85,GS_Wood_12_Autism.docx,0.080899908,Wood,GS
86,HS_Carroll_05_Autism.docx,0.22411327,Carroll,HS
87,HS_Crooks_11_Autism.docx,0.390850988,Crooks,HS
88,HS_Crooks_13_Autism.docx,0.313303578,Crooks,HS
89,HS_Hyde_13_Autism.docx,0.195655806,Hyde,HS
90,HS_LeVay_02_Autism.docx,0.200486796,LeVay,HS
91,HS_LeVay_03_Autism.docx,0.134431269,LeVay,HS
92,HS_Yarber_09_Autism.docx,-0.032770008,Yarber,HS
93,Intro_Bernstein_06_Autism.docx,0.02225809,Bernstein,Intro
94,Intro_Bernstein_07_Autism_v2.docx,-0.122643717,Bernstein,Intro
95,Intro_Bernstein_08_Autism.docx,-0.148803828,Bernstein,Intro
96,Intro_Bernstein_09_Autism_v2.docx,0.14311828,Bernstein,Intro
97,Intro_Bernstein_10_Autism.docx,0.168915492,Bernstein,Intro
98,Intro_Coon_10_Autism.docx,0.132276295,Coon,Intro
99,Intro_Coon_11_Autism.docx,0.093337632,Coon,Intro
100,Intro_Coon_13_Autism_v2.docx,0.045271341,Coon,Intro
101,Intro_Coon_14_Autism.docx,0.160216966,Coon,Intro
102,Intro_Griggs_03_Autism.docx,0.512195599,Griggs,Intro
103,Intro_Griggs_04_Autism.docx,0.441238821,Griggs,Intro
104,Intro_Griggs_05_Autism.docx,0.41477528,Griggs,Intro
105,Intro_Kalat_09_Autism.docx,0.158938947,Kalat,Intro
106,Intro_Kalat_10_Autism.docx,0.174839302,Kalat,Intro
107,Intro_Kalat_11_Autism.docx,0.145704028,Kalat,Intro
108,Intro_Morris_07_Autism.docx,-0.082329625,Morris,Intro
109,Intro_Morris_08_Autism.docx,0.021865287,Morris,Intro
110,Intro_Morris_09_Autism.docx,-0.139818823,Morris,Intro
111,Intro_Morris_10_Autism.docx,0.021351445,Morris,Intro
112,Intro_Morris_11_Autism.docx,0.160322256,Morris,Intro
113,Intro_Myers_07_Autism_v2.docx,0.266507937,Myers,Intro
114,Intro_Myers_08_Autism.docx,0.313203213,Myers,Intro
115,Intro_Myers_09_Autism.docx,0.292381459,Myers,Intro
116,Intro_Myers_10_Autism.docx,0.257789502,Myers,Intro
