,Textbook,Score,Author,Field
0,Abn_Barlow_04_Autism_v2.docx,-0.01614514,Barlow,Abn
1,Abn_Barlow_05_Autism_v2.docx,0.002431118,Barlow,Abn
2,Abn_Barlow_06_Autism_v2.docx,0.004941985,Barlow,Abn
3,Abn_Barlow_07_Autism.docx,0.000952381,Barlow,Abn
4,Abn_Barlow_08_Autism.docx,-0.022442589,Barlow,Abn
5,Abn_Brown_01_Autism_v2.docx,-0.041834968,Brown,Abn
6,Abn_Brown_02_Autism_v2.docx,-0.044657999,Brown,Abn
7,Abn_Brown_03_Autism_v2.docx,-0.045238095,Brown,Abn
8,Abn_Brown_04_Autism_v2.docx,-0.03641055,Brown,Abn
9,Abn_Brown_05_Autism.docx,0.005042017,Brown,Abn
10,Abn_Comer_05_Autism_v2.docx,0.012598992,Comer,Abn
11,Abn_Comer_06_Autism_v2.docx,0.02052323,Comer,Abn
12,Abn_Comer_07_Autism_v2.docx,0.022284725,Comer,Abn
13,Abn_Comer_08_Autism_v2.docx,-0.012387981,Comer,Abn
14,Abn_Comer_09_Autism.docx,-0.006714226,Comer,Abn
15,Abn_Hooley_13_Autism_v2.docx,-0.025408348,Hooley,Abn
16,Abn_Hooley_14_Autism_v2.docx,-0.027027027,Hooley,Abn
17,Abn_Hooley_15_Autism_v2.docx,-0.018821604,Hooley,Abn
18,Abn_Hooley_16_Autism_v2.docx,-0.018995493,Hooley,Abn
19,Abn_Hooley_17_Autism.docx,-0.033316271,Hooley,Abn
20,Abn_Kearney_06_Autism.docx,-0.019702277,Kearney,Abn
21,Abn_Mash_02_Autism_v2.docx,0.023268402,Mash,Abn
22,Abn_Mash_03_Autism_v2.docx,0.022156542,Mash,Abn
23,Abn_Mash_04_Autism_v2.docx,0.021409783,Mash,Abn
24,Abn_Mash_05_Autism_v2.docx,0.015445904,Mash,Abn
25,Abn_Mash_06_Autism.docx,0.002196861,Mash,Abn
26,Abn_Nevid_06_Autism_v2.docx,0.0048,Nevid,Abn
27,Abn_Nevid_07_Autism.docx,0.006476684,Nevid,Abn
28,Abn_Nevid_08_Autism_v2.docx,0.024982407,Nevid,Abn
29,Abn_Nevid_09_Autism_v2.docx,0.030802738,Nevid,Abn
30,Abn_Nevid_10_Autism.docx,-0.018573551,Nevid,Abn
31,Abn_Nolen-Hoeksema_03_Autism_v2.docx,0.025748503,Nolen-Hoeksema,Abn
32,Abn_Nolen-Hoeksema_04_Autism.docx,0.030526316,Nolen-Hoeksema,Abn
33,Abn_Nolen-Hoeksema_05_Autism_v2.docx,-0.003144654,Nolen-Hoeksema,Abn
34,Abn_Nolen-Hoeksema_06_Autism_v2.docx,-0.003728814,Nolen-Hoeksema,Abn
35,Abn_Nolen-Hoeksema_07_Autism.docx,-0.054672447,Nolen-Hoeksema,Abn
36,Abn_Sue_07_Autism_v2.docx,-0.060412758,Sue,Abn
37,Abn_Sue_08_Autism_v2.docx,-0.056019485,Sue,Abn
38,Abn_Sue_09_Autism_v2.docx,-0.059685864,Sue,Abn
39,Abn_Sue_10_Autism_v2.docx,0.000770416,Sue,Abn
40,Abn_Sue_11_Autism.docx,0.004712218,Sue,Abn
41,Abn_Whitbourne_04_Autism_v2.docx,-0.022506083,Whitbourne,Abn
42,Abn_Whitbourne_05_Autism_v2.docx,-0.02394822,Whitbourne,Abn
43,Abn_Whitbourne_06_Autism_v2.docx,0.000664011,Whitbourne,Abn
44,Abn_Whitbourne_07_Autism_v2.docx,0.013049013,Whitbourne,Abn
45,Abn_Whitbourne_08_Autism.docx,-0.0155902,Whitbourne,Abn
46,Devo_Berger_05_Autism.docx,-0.002347418,Berger,Devo
47,Devo_Berger_06_Autism_v2.docx,-0.097387173,Berger,Devo
48,Devo_Berger_07_Autism.docx,-0.082650273,Berger,Devo
49,Devo_Berger_08_Autism.docx,-0.121382637,Berger,Devo
50,Devo_Berger_09_Autism.docx,-0.108323133,Berger,Devo
51,Devo_Berger_10_Autism.docx,-0.064559216,Berger,Devo
52,Devo_Berk_03_Autism.docx,-0.004702194,Berk,Devo
53,Devo_Berk_04_Autism.docx,-0.037921348,Berk,Devo
54,Devo_Berk_05_Autism.docx,-0.02303263,Berk,Devo
55,Devo_Berk_06_Autism.docx,-0.005586592,Berk,Devo
56,Devo_Berk_07_Autism.docx,0.02970297,Berk,Devo
57,Devo_Berk_08_Autism.docx,0.020390824,Berk,Devo
58,Devo_Bornstein_02_Autism.docx,0.04109589,Bornstein,Devo
59,Devo_Bornstein_03_Autism.docx,0.052123552,Bornstein,Devo
60,Devo_Bornstein_04_Autism.docx,-0.077777778,Bornstein,Devo
61,Devo_Bornstein_05_Autism.docx,-0.049295775,Bornstein,Devo
62,Devo_Bornstein_06_Autism.docx,-0.047619048,Bornstein,Devo
63,Devo_Bornstein_07_Autism.docx,0.034596376,Bornstein,Devo
64,Devo_Feldman_04_Autism.docx,-0.358108108,Feldman,Devo
65,Devo_Feldman_05_Autism.docx,-0.188976378,Feldman,Devo
66,Devo_Feldman_06_Autism.docx,-0.063765182,Feldman,Devo
67,Devo_Feldman_07_Autism.docx,-0.058900524,Feldman,Devo
68,Devo_Feldman_08_Autism.docx,-0.124637681,Feldman,Devo
69,Devo_Kail_07_Autism.docx,0.074,Kail,Devo
70,Devo_Miller_06_Autism.docx,0.079710145,Miller,Devo
71,Devo_Newman_13_Autism.docx,0.013297872,Newman,Devo
72,Devo_Santrock_12_Autism_v2.docx,-0.081352834,Santrock,Devo
73,Devo_Santrock_13_Autism_v2.docx,-0.054918033,Santrock,Devo
74,Devo_Santrock_14_Autism_v2.docx,-0.057503506,Santrock,Devo
75,Devo_Santrock_15_Autism.docx,-0.065926893,Santrock,Devo
76,Devo_Santrock_16_Autism.docx,-0.062179122,Santrock,Devo
77,Devo_Sigelman_04_Autism_v2.docx,0.019078947,Sigelman,Devo
78,Devo_Sigelman_05_Autism.docx,0.045765878,Sigelman,Devo
79,Devo_Sigelman_06_Autism.docx,0.04157839,Sigelman,Devo
80,Devo_Sigelman_07_Autism.docx,0.054067971,Sigelman,Devo
81,Devo_Sigelman_08_Autism.docx,0.021586345,Sigelman,Devo
82,Devo_Sigelman_09_Autism.docx,0.019213382,Sigelman,Devo
83,GS_Newman_03_Autism.docx,0.182692308,Newman,GS
84,GS_Rothenberg_10_Autism.docx,0.013888889,Rothenberg,GS
85,GS_Wood_12_Autism.docx,0.227272727,Wood,GS
86,HS_Carroll_05_Autism.docx,0.064885496,Carroll,HS
87,HS_Crooks_11_Autism.docx,0.207964602,Crooks,HS
88,HS_Crooks_13_Autism.docx,0.19379845,Crooks,HS
89,HS_Hyde_13_Autism.docx,-0.015037594,Hyde,HS
90,HS_LeVay_02_Autism.docx,-0.048192771,LeVay,HS
91,HS_LeVay_03_Autism.docx,0.023913043,LeVay,HS
92,HS_Yarber_09_Autism.docx,0.019230769,Yarber,HS
93,Intro_Bernstein_06_Autism.docx,-0.105566219,Bernstein,Intro
94,Intro_Bernstein_07_Autism_v2.docx,-0.126838235,Bernstein,Intro
95,Intro_Bernstein_08_Autism.docx,-0.203947368,Bernstein,Intro
96,Intro_Bernstein_09_Autism_v2.docx,-0.006451613,Bernstein,Intro
