,Textbook,Score,Author,Field
0,Abn_Barlow_04_Transgender_v2.docx,-0.022798867,Barlow,Abn
1,Abn_Barlow_05_Transgender_v2.docx,-0.025626424,Barlow,Abn
2,Abn_Barlow_06_Transgender_v2.docx,0.006369427,Barlow,Abn
3,Abn_Barlow_07_Transgender_v2.docx,-0.062992126,Barlow,Abn
4,Abn_Barlow_08_Transgender.docx,-0.009465215,Barlow,Abn
5,Abn_Brown_05_Transgender.docx,-0.015873016,Brown,Abn
6,Abn_Comer_05_Transgender_v2.docx,-0.066390041,Comer,Abn
7,Abn_Comer_06_Transgender.docx,-0.08131177,Comer,Abn
8,Abn_Comer_07_Transgender.docx,-0.07924268,Comer,Abn
9,Abn_Comer_08_Transgender_v2.docx,-0.106646825,Comer,Abn
10,Abn_Comer_09_Transgender.docx,-0.070256793,Comer,Abn
11,Abn_Hooley_13_Transgender.docx,-0.029781421,Hooley,Abn
12,Abn_Hooley_14_Transgender_v2.docx,-0.052858906,Hooley,Abn
13,Abn_Hooley_15_Transgender_v2.docx,-0.016288952,Hooley,Abn
14,Abn_Hooley_16_Transgender_v2.docx,-0.010621558,Hooley,Abn
15,Abn_Hooley_17_Transgender.docx,-0.033677121,Hooley,Abn
16,Abn_Kearney_06_Transgender.docx,-0.057239057,Kearney,Abn
17,Abn_Mash_02_Transgender.docx,-0.053645525,Mash,Abn
18,Abn_Mash_05_Transgender.docx,-0.123287671,Mash,Abn
19,Abn_Mash_06_Transgender.docx,-0.073042648,Mash,Abn
20,Abn_Nevid_08_Transgender_v2.docx,-0.008466848,Nevid,Abn
21,Abn_Nevid_09_Transgender.docx,-0.088533541,Nevid,Abn
22,Abn_Nevid_10_Transgender.docx,-0.043756397,Nevid,Abn
23,Abn_Nolen-Hoeksema_03_Transgender.docx,-0.104336043,Nolen-Hoeksema,Abn
24,Abn_Nolen-Hoeksema_04_Transgender.docx,-0.117056856,Nolen-Hoeksema,Abn
25,Abn_Nolen-Hoeksema_05_Transgender.docx,-0.095522388,Nolen-Hoeksema,Abn
26,Abn_Nolen-Hoeksema_06_Transgender.docx,-0.090909091,Nolen-Hoeksema,Abn
27,Abn_Nolen-Hoeksema_07_Transgender.docx,-0.03120173,Nolen-Hoeksema,Abn
28,Abn_Sue_07_Transgender_v2.docx,-0.016942771,Sue,Abn
29,Abn_Sue_08_Transgender_v2.docx,-0.038651316,Sue,Abn
30,Abn_Sue_09_Transgender_v2.docx,-0.017036655,Sue,Abn
31,Abn_Sue_10_Transgender_v2.docx,-0.046691871,Sue,Abn
32,Abn_Sue_11_Transgender.docx,-0.011601286,Sue,Abn
33,Abn_Whitbourne_04_Transgender.docx,-0.006655574,Whitbourne,Abn
34,Abn_Whitbourne_05_Transgender_v2.docx,0.019557823,Whitbourne,Abn
35,Abn_Whitbourne_06_Transgender.docx,-0.059633028,Whitbourne,Abn
36,Abn_Whitbourne_07_Transgender_v2.docx,-0.078514096,Whitbourne,Abn
37,Abn_Whitbourne_08_Transgender.docx,-0.0549075,Whitbourne,Abn
38,Devo_Berger_05_Transgender.docx,0.062334218,Berger,Devo
39,Devo_Berger_06_Transgender.docx,0.033333333,Berger,Devo
40,Devo_Berger_07_Transgender.docx,0.113065327,Berger,Devo
41,Devo_Berger_08_Transgender.docx,0.053269122,Berger,Devo
42,Devo_Berger_09_Transgender.docx,0.067650677,Berger,Devo
43,Devo_Berger_10_Transgender.docx,0.036876356,Berger,Devo
44,Devo_Berk_08_Transgender.docx,0.077125265,Berk,Devo
45,Devo_Bornstein_02_Transgender.docx,-0.047169811,Bornstein,Devo
46,Devo_Bornstein_04_Transgender_v2.docx,0.035885167,Bornstein,Devo
47,Devo_Bornstein_05_Transgender_v2.docx,0.071825397,Bornstein,Devo
48,Devo_Bornstein_07_Transgender.docx,0.086400893,Bornstein,Devo
49,Devo_Feldman_03_Transgender.docx,0.139622642,Feldman,Devo
50,Devo_Feldman_04_Transgender_v2.docx,0.082877248,Feldman,Devo
51,Devo_Feldman_05_Transgender_v2.docx,0.058800316,Feldman,Devo
52,Devo_Feldman_06_Transgender_v2.docx,0.068232167,Feldman,Devo
53,Devo_Feldman_07_Transgender.docx,0.064823108,Feldman,Devo
54,Devo_Feldman_08_Transgender.docx,0.070645554,Feldman,Devo
55,Devo_Gonzalez-Mena_10_Transgender.docx,0.027777778,Gonzalez-Mena,Devo
56,Devo_Gonzalez-Mena_11_Transgender.docx,0.087628866,Gonzalez-Mena,Devo
57,Devo_Kail_02_Transgender.docx,0.036043588,Kail,Devo
58,Devo_Kail_05_Transgender.docx,0.091775093,Kail,Devo
59,Devo_Kail_06_Transgender.docx,0.0791423,Kail,Devo
60,Devo_Kail_07_Transgender.docx,0.079903426,Kail,Devo
61,Devo_Miller_06_Transgender.docx,0.042580645,Miller,Devo
62,Devo_Newman_08_Transgender.docx,0.090719499,Newman,Devo
63,Devo_Newman_09_Transgender.docx,0.10205314,Newman,Devo
64,Devo_Newman_10_Transgender_v2.docx,0.108918503,Newman,Devo
65,Devo_Newman_11_Transgender.docx,0.110258285,Newman,Devo
66,Devo_Newman_12_Transgender.docx,0.092764378,Newman,Devo
67,Devo_Newman_13_Transgender.docx,0.083097692,Newman,Devo
68,Devo_Santrock_11_Transgender.docx,0.045321637,Santrock,Devo
69,Devo_Santrock_12_Transgender.docx,0.060871743,Santrock,Devo
70,Devo_Santrock_13_Transgender.docx,0.079062159,Santrock,Devo
71,Devo_Santrock_14_Transgender.docx,0.028991597,Santrock,Devo
72,Devo_Santrock_15_Transgender_V2.docx,0.050847458,Santrock,Devo
73,Devo_Santrock_16_Transgender.docx,0.043568465,Santrock,Devo
74,Devo_Sigelman_05_Transgender.docx,0.087573386,Sigelman,Devo
75,Devo_Sigelman_07_Transgender.docx,0.089527944,Sigelman,Devo
76,Devo_Sigelman_08_Transgender.docx,0.092797784,Sigelman,Devo
77,Devo_Sigelman_09_Transgender.docx,0.069789921,Sigelman,Devo
78,GS_Andersen_07_Transgender_v2.docx,0.028299131,Andersen,GS
79,GS_Andersen_08_Transgender_v2.docx,0.013769124,Andersen,GS
80,GS_Andersen_09_Transgender.docx,0.001427143,Andersen,GS
81,GS_Brannon_05_Transgender_v2.docx,0.0,Brannon,GS
82,GS_Brannon_06_Transgender.docx,-0.033683142,Brannon,GS
83,GS_Brannon_07_Transgender.docx,0.034464191,Brannon,GS
84,GS_Healey_03_Transgender_v2.docx,-0.020439812,Healey,GS
85,GS_Healey_04_Transgender.docx,0.00012,Healey,GS
86,GS_Healey_05_Transgender.docx,-0.007993319,Healey,GS
87,GS_Helgeson_03_Transgender_v2.docx,0.028892193,Helgeson,GS
88,GS_Helgeson_04_Transgender_v2.docx,0.037058698,Helgeson,GS
89,GS_Helgeson_05_Transgender.docx,0.027255888,Helgeson,GS
90,GS_Kimmel_04_Transgender_v2.docx,0.038725923,Kimmel,GS
91,GS_Kimmel_05_Transgender_v2.docx,0.016137767,Kimmel,GS
92,GS_Kimmel_06_Transgender.docx,0.02330204,Kimmel,GS
93,GS_Newman_01_Transgender_v2.docx,0.03951049,Newman,GS
94,GS_Newman_02_Transgender_v2.docx,0.035785288,Newman,GS
95,GS_Newman_03_Transgender.docx,0.02996036,Newman,GS
96,GS_Robinson_02_Transgender.docx,0.017638444,Robinson,GS
97,GS_Robinson_03_Transgender_v2.docx,0.023788341,Robinson,GS
98,GS_Robinson_04_Transgender.docx,0.031161424,Robinson,GS
99,GS_Rothenberg_08_Transgender_v2.docx,0.04354067,Rothenberg,GS
100,GS_Rothenberg_09_Transgender_v2.docx,0.024511856,Rothenberg,GS
101,GS_Rothenberg_10_Transgender.docx,0.007505423,Rothenberg,GS
102,GS_Wood_10_Transgender_v2.docx,0.082687131,Wood,GS
103,GS_Wood_11_Transgender_v2.docx,0.075464642,Wood,GS
104,GS_Wood_12_Transgender.docx,0.058609003,Wood,GS
105,HS_Carroll_03_Transgender.docx,0.002967359,Carroll,HS
106,HS_Carroll_04_Transgender.docx,0.059890469,Carroll,HS
107,HS_Carroll_05_Transgender.docx,0.062774316,Carroll,HS
108,HS_Crooks_11_Transgender.docx,0.043338381,Crooks,HS
109,HS_Crooks_12_Transgender_v2.docx,0.031086873,Crooks,HS
110,HS_Crooks_13_Transgender.docx,0.063255919,Crooks,HS
111,HS_Greenberg_04_Transgender.docx,0.070164831,Greenberg,HS
112,HS_Greenberg_05_Transgender_v2.docx,0.020325203,Greenberg,HS
113,HS_Greenberg_06_Transgender.docx,0.063949929,Greenberg,HS
114,HS_Hock_02_Transgender.docx,0.06760185,Hock,HS
115,HS_Hock_03_Transgender.docx,0.068331576,Hock,HS
116,HS_Hock_04_Transgender.docx,0.068833367,Hock,HS
117,HS_Hyde_11_Transgender_v2.docx,0.057799274,Hyde,HS
118,HS_Hyde_12_Transgender_v2.docx,0.017554502,Hyde,HS
119,HS_Hyde_13_Transgender.docx,0.060094759,Hyde,HS
120,HS_LeVay_01_Transgender.docx,0.082862007,LeVay,HS
121,HS_LeVay_02_Transgender.docx,0.059017927,LeVay,HS
122,HS_LeVay_03_Transgender.docx,0.056798964,LeVay,HS
123,HS_Yarber_07_Transgender.docx,0.044003648,Yarber,HS
124,HS_Yarber_08_Transgender.docx,0.051635112,Yarber,HS
125,HS_Yarber_09_Transgender.docx,0.060419294,Yarber,HS
126,Intro_Bernstein_06_Transgender.docx,0.034482759,Bernstein,Intro
127,Intro_Bernstein_07_Transgender_v2.docx,0.022740034,Bernstein,Intro
128,Intro_Bernstein_08_Transgender.docx,0.038764045,Bernstein,Intro
129,Intro_Bernstein_09_Transgender_v2.docx,0.059556226,Bernstein,Intro
130,Intro_Bernstein_10_Transgender.docx,0.03814448,Bernstein,Intro
131,Intro_Coon_10_Transgender_v2.docx,0.061103059,Coon,Intro
132,Intro_Coon_11_Transgender.docx,0.067039106,Coon,Intro
133,Intro_Coon_12_Transgender_v2.docx,0.080224242,Coon,Intro
134,Intro_Coon_13_Transgender_v2.docx,0.090390129,Coon,Intro
135,Intro_Coon_14_Transgender.docx,0.032907692,Coon,Intro
136,Intro_Griggs_01_Transgender.docx,0.0,Griggs,Intro
137,Intro_Griggs_04_Transgender.docx,-0.010162602,Griggs,Intro
138,Intro_Griggs_05_Transgender.docx,0.078209277,Griggs,Intro
139,Intro_Kalat_08_Transgender.docx,0.084745763,Kalat,Intro
140,Intro_Kalat_11_Transgender.docx,0.091320072,Kalat,Intro
