,Textbook,Score,Author,Field
0,Abn_Barlow_04_Transgender_v2.docx,0.282339091,Barlow,Abn
1,Abn_Barlow_05_Transgender_v2.docx,-0.049554706,Barlow,Abn
2,Abn_Barlow_06_Transgender_v2.docx,-0.045714286,Barlow,Abn
3,Abn_Barlow_07_Transgender_v2.docx,-0.783256667,Barlow,Abn
4,Abn_Barlow_08_Transgender.docx,-0.57514973,Barlow,Abn
5,Abn_Brown_05_Transgender.docx,-3.7375,Brown,Abn
6,Abn_Comer_05_Transgender_v2.docx,-0.733708421,Comer,Abn
7,Abn_Comer_06_Transgender.docx,-0.686601818,Comer,Abn
8,Abn_Comer_07_Transgender.docx,0.734033,Comer,Abn
9,Abn_Comer_08_Transgender_v2.docx,0.419571364,Comer,Abn
10,Abn_Comer_09_Transgender.docx,0.056307324,Comer,Abn
11,Abn_Hooley_13_Transgender.docx,-1.198174412,Hooley,Abn
12,Abn_Hooley_14_Transgender_v2.docx,-0.786217647,Hooley,Abn
13,Abn_Hooley_15_Transgender_v2.docx,-0.5503184,Hooley,Abn
14,Abn_Hooley_16_Transgender_v2.docx,-1.225869655,Hooley,Abn
15,Abn_Hooley_17_Transgender.docx,-0.4815,Hooley,Abn
16,Abn_Kearney_06_Transgender.docx,-1.799914286,Kearney,Abn
17,Abn_Mash_02_Transgender.docx,0.783589231,Mash,Abn
18,Abn_Mash_05_Transgender.docx,0.560496667,Mash,Abn
19,Abn_Mash_06_Transgender.docx,0.642363617,Mash,Abn
20,Abn_Nevid_08_Transgender_v2.docx,0.496885,Nevid,Abn
21,Abn_Nevid_09_Transgender.docx,0.018584857,Nevid,Abn
22,Abn_Nevid_10_Transgender.docx,-0.061619099,Nevid,Abn
23,Abn_Nolen-Hoeksema_03_Transgender.docx,-1.707917778,Nolen-Hoeksema,Abn
24,Abn_Nolen-Hoeksema_04_Transgender.docx,-2.64574125,Nolen-Hoeksema,Abn
25,Abn_Nolen-Hoeksema_05_Transgender.docx,-1.957757778,Nolen-Hoeksema,Abn
26,Abn_Nolen-Hoeksema_06_Transgender.docx,-0.275795,Nolen-Hoeksema,Abn
27,Abn_Nolen-Hoeksema_07_Transgender.docx,0.517085224,Nolen-Hoeksema,Abn
