,Year,Score
1988,1988,0.63729
1997,1997,0.933865541
1999,1999,0.35457037700000005
2000,2000,0.534619333
2001,2001,0.783589231
2002,2002,0.38529857166666664
2003,2003,0.23631846683333332
2004,2004,0.541201095
2005,2005,0.15639370445454545
2006,2006,0.1954645955
2007,2007,0.5914670846153846
2008,2008,0.34199325392307695
2009,2009,0.6343338492307692
2010,2010,0.31099793893333333
2011,2011,0.8226500323333333
2012,2012,0.7379202266521739
2013,2013,0.169494736
2014,2014,0.6213438423333333
2015,2015,0.8138607707857143
2016,2016,0.7887500293333334
2017,2017,0.3245534164
2018,2018,0.9099638506
