,Year,Score
1988,1988,0.04109589
1992,1992,0.052123552
1995,1995,-0.058536585
1996,1996,-0.0267265545
1997,1997,-0.017366136
1998,1998,-0.003112132
1999,1999,-0.077777778
2000,2000,-0.007775205999999998
2001,2001,-0.007326473
2002,2002,-0.01386358857142857
2003,2003,-0.0008475388571428576
2004,2004,-0.00525636
2005,2005,-0.05139077325
2006,2006,-0.018831716888888888
2007,2007,-0.04178384507692308
2008,2008,0.008349970857142858
2009,2009,-0.0268139636
2010,2010,0.0048932094117647065
2011,2011,0.014798943777777778
2012,2012,0.0028489197333333334
2013,2013,0.00998847875
2014,2014,-0.007442721999999999
2015,2015,-0.011958136888888887
2016,2016,0.020406912055555556
2017,2017,0.004718180541666667
2018,2018,0.029781754153846155
