,Year,Score
1988,1988,-0.047169811
1997,1997,0.017638444
1999,1999,0.035964377500000005
2000,2000,0.062334218
2001,2001,-0.053645525
2002,2002,0.07113312333333333
2003,2003,0.011266584999999999
2004,2004,0.017116931
2005,2005,0.05852193745454545
2006,2006,0.018006249999999998
2007,2007,0.04337099623076923
2008,2008,0.036202334
2009,2009,0.023334941923076925
2010,2010,0.0290408528
2011,2011,0.036756989222222224
2012,2012,0.03045506656521739
2013,2013,0.0096804532
2014,2014,0.016874843666666667
2015,2015,0.029387611285714283
2016,2016,0.04464176738095238
2017,2017,0.0221657549
2018,2018,0.039170607133333334
