Textbook,Score
Abn_Barlow_04_Autism_v2.docx,699.1770202
Abn_Barlow_05_Autism_v2.docx,589.4893939
Abn_Barlow_06_Autism_v2.docx,502.1065657
Abn_Barlow_07_Autism.docx,419.3090909
Abn_Barlow_08_Autism.docx,1051.898232
Abn_Brown_01_Autism_v2.docx,211.7909091
Abn_Brown_02_Autism_v2.docx,208.6181818
Abn_Brown_03_Autism_v2.docx,152.3151515
Abn_Brown_04_Autism_v2.docx,211.5833333
Abn_Brown_05_Autism.docx,331.8313131
Abn_Comer_05_Autism_v2.docx,330.0792929
Abn_Comer_06_Autism_v2.docx,664.4585859
Abn_Comer_07_Autism_v2.docx,655.5186869
Abn_Comer_08_Autism_v2.docx,463.580303
Abn_Comer_09_Autism.docx,558.8252525
Abn_Hooley_13_Autism_v2.docx,311.6757576
Abn_Hooley_14_Autism_v2.docx,310.8055556
Abn_Hooley_15_Autism_v2.docx,361.2535354
Abn_Hooley_16_Autism_v2.docx,341.1060606
Abn_Hooley_17_Autism.docx,104.7636364
Abn_Kearney_06_Autism.docx,197.3469697
Abn_Mash_02_Autism_v2.docx,1875.283333
Abn_Mash_03_Autism_v2.docx,1797.203535
Abn_Mash_04_Autism_v2.docx,1831.735354
Abn_Mash_05_Autism_v2.docx,2339.911111
Abn_Mash_06_Autism.docx,2645.882323
Abn_Nevid_06_Autism_v2.docx,190.3661616
Abn_Nevid_07_Autism.docx,242.7757576
Abn_Nevid_08_Autism_v2.docx,236.320202
Abn_Nevid_09_Autism_v2.docx,311.0868687
Abn_Nevid_10_Autism.docx,220.0853535
Abn_Nolen-Hoeksema_03_Autism_v2.docx,461.309596
Abn_Nolen-Hoeksema_04_Autism.docx,351.7025253
Abn_Nolen-Hoeksema_05_Autism_v2.docx,327.939899
Abn_Nolen-Hoeksema_06_Autism_v2.docx,177.8010101
Abn_Nolen-Hoeksema_07_Autism.docx,-26.87272727
Abn_Sue_07_Autism_v2.docx,91.84848485
Abn_Sue_08_Autism_v2.docx,166.5424242
Abn_Sue_09_Autism_v2.docx,35.52676768
Abn_Sue_10_Autism_v2.docx,638.1747475
Abn_Sue_11_Autism.docx,559.2545455
Abn_Whitbourne_04_Autism_v2.docx,316.6674242
Abn_Whitbourne_05_Autism_v2.docx,244.4224747
Abn_Whitbourne_06_Autism_v2.docx,305.2401515
Abn_Whitbourne_07_Autism_v2.docx,393.3454545
Abn_Whitbourne_08_Autism.docx,406.5964646
Devo_Berger_05_Autism.docx,164.1111111
Devo_Berger_06_Autism_v2.docx,69.26666667
Devo_Berger_07_Autism.docx,164.289899
Devo_Berger_08_Autism.docx,96.9530303
Devo_Berger_09_Autism.docx,114.9954545
Devo_Berger_10_Autism.docx,180.740404
Devo_Berk_03_Autism.docx,57.08131313
Devo_Berk_04_Autism.docx,47.08838384
Devo_Berk_05_Autism.docx,117.3489899
Devo_Berk_06_Autism.docx,144.030303
Devo_Berk_07_Autism.docx,161.6737374
Devo_Berk_08_Autism.docx,314.9989899
Devo_Bornstein_02_Autism.docx,24.98989899
Devo_Bornstein_03_Autism.docx,26.32171717
Devo_Bornstein_04_Autism.docx,17.2
Devo_Bornstein_05_Autism.docx,30.93787879
Devo_Bornstein_06_Autism.docx,30.02878788
Devo_Bornstein_07_Autism.docx,199.0510101
Devo_Feldman_04_Autism.docx,-7.859090909
Devo_Feldman_05_Autism.docx,20.93434343
Devo_Feldman_06_Autism.docx,54.90050505
Devo_Feldman_07_Autism.docx,73.82020202
Devo_Feldman_08_Autism.docx,8.017171717
Devo_Kail_07_Autism.docx,78.08282828
Devo_Miller_06_Autism.docx,190.680303
Devo_Newman_13_Autism.docx,71.18383838
Devo_Santrock_12_Autism_v2.docx,-19.18838384
