Textbook,Score
Abn_Barlow_04_Autism_v2.docx,0.232748675
Abn_Barlow_05_Autism_v2.docx,0.238853077
Abn_Barlow_06_Autism_v2.docx,0.215774201
Abn_Barlow_07_Autism.docx,0.199670996
Abn_Barlow_08_Autism.docx,0.219602971
Abn_Brown_01_Autism_v2.docx,0.122210565
Abn_Brown_02_Autism_v2.docx,0.117930007
Abn_Brown_03_Autism_v2.docx,0.090663781
Abn_Brown_04_Autism_v2.docx,0.121320719
Abn_Brown_05_Autism.docx,0.185899895
Abn_Comer_05_Autism_v2.docx,0.23763808
Abn_Comer_06_Autism_v2.docx,0.299710684
Abn_Comer_07_Autism_v2.docx,0.28365153
Abn_Comer_08_Autism_v2.docx,0.244375489
Abn_Comer_09_Autism.docx,0.234504932
Abn_Hooley_13_Autism_v2.docx,0.188551577
Abn_Hooley_14_Autism_v2.docx,0.200003575
Abn_Hooley_15_Autism_v2.docx,0.197083216
Abn_Hooley_16_Autism_v2.docx,0.21964331
Abn_Hooley_17_Autism.docx,0.047881004
Abn_Kearney_06_Autism.docx,0.172808205
Abn_Mash_02_Autism_v2.docx,0.2624242
Abn_Mash_03_Autism_v2.docx,0.258107645
Abn_Mash_04_Autism_v2.docx,0.244818946
Abn_Mash_05_Autism_v2.docx,0.243893174
Abn_Mash_06_Autism.docx,0.204583803
Abn_Nevid_06_Autism_v2.docx,0.152292929
Abn_Nevid_07_Autism.docx,0.125790548
Abn_Nevid_08_Autism_v2.docx,0.166305561
Abn_Nevid_09_Autism_v2.docx,0.19358237
Abn_Nevid_10_Autism.docx,0.081755332
Abn_Nolen-Hoeksema_03_Autism_v2.docx,0.276233291
Abn_Nolen-Hoeksema_04_Autism.docx,0.24680879
Abn_Nolen-Hoeksema_05_Autism_v2.docx,0.187501372
Abn_Nolen-Hoeksema_06_Autism_v2.docx,0.120543058
Abn_Nolen-Hoeksema_07_Autism.docx,-0.012944474
Abn_Sue_07_Autism_v2.docx,0.034464722
Abn_Sue_08_Autism_v2.docx,0.057947956
Abn_Sue_09_Autism_v2.docx,0.018600402
Abn_Sue_10_Autism_v2.docx,0.245830026
Abn_Sue_11_Autism.docx,0.188237814
Abn_Whitbourne_04_Autism_v2.docx,0.192620088
Abn_Whitbourne_05_Autism_v2.docx,0.158202249
Abn_Whitbourne_06_Autism_v2.docx,0.202682704
Abn_Whitbourne_07_Autism_v2.docx,0.250379029
Abn_Whitbourne_08_Autism.docx,0.226390014
Devo_Berger_05_Autism.docx,0.2568249
Devo_Berger_06_Autism_v2.docx,0.164528899
Devo_Berger_07_Autism.docx,0.224439753
Devo_Berger_08_Autism.docx,0.155873039
Devo_Berger_09_Autism.docx,0.14075331
Devo_Berger_10_Autism.docx,0.16094426
Devo_Berk_03_Autism.docx,0.178938286
Devo_Berk_04_Autism.docx,0.132270741
Devo_Berk_05_Autism.docx,0.225237984
Devo_Berk_06_Autism.docx,0.268212855
Devo_Berk_07_Autism.docx,0.266788346
Devo_Berk_08_Autism.docx,0.267628708
Devo_Bornstein_02_Autism.docx,0.085581846
Devo_Bornstein_03_Autism.docx,0.101628252
Devo_Bornstein_04_Autism.docx,0.191111111
Devo_Bornstein_05_Autism.docx,0.217872386
Devo_Bornstein_06_Autism.docx,0.204277469
Devo_Bornstein_07_Autism.docx,0.327925882
Devo_Feldman_04_Autism.docx,-0.106203931
Devo_Feldman_05_Autism.docx,0.16483735
Devo_Feldman_06_Autism.docx,0.111134626
Devo_Feldman_07_Autism.docx,0.193246602
Devo_Feldman_08_Autism.docx,0.023238179
Devo_Kail_07_Autism.docx,0.312331313
Devo_Miller_06_Autism.docx,0.307053628
Devo_Newman_13_Autism.docx,0.189318719
Devo_Santrock_12_Autism_v2.docx,-0.035079312
Devo_Santrock_13_Autism_v2.docx,0.065867693
Devo_Santrock_14_Autism_v2.docx,0.036163175
Devo_Santrock_15_Autism.docx,0.035633753
Devo_Santrock_16_Autism.docx,0.134395293
Devo_Sigelman_04_Autism_v2.docx,0.284777047
Devo_Sigelman_05_Autism.docx,0.29939699
Devo_Sigelman_06_Autism.docx,0.27181762
Devo_Sigelman_07_Autism.docx,0.295558832
Devo_Sigelman_08_Autism.docx,0.275028903
Devo_Sigelman_09_Autism.docx,0.289095521
GS_Newman_03_Autism.docx,0.09539627
GS_Rothenberg_10_Autism.docx,0.446141975
GS_Wood_12_Autism.docx,0.080899908
HS_Carroll_05_Autism.docx,0.22411327
HS_Crooks_11_Autism.docx,0.390850988
HS_Crooks_13_Autism.docx,0.313303578
HS_Hyde_13_Autism.docx,0.195655806
HS_LeVay_02_Autism.docx,0.200486796
HS_LeVay_03_Autism.docx,0.134431269
HS_Yarber_09_Autism.docx,-0.032770008
Intro_Bernstein_06_Autism.docx,0.02225809
Intro_Bernstein_07_Autism_v2.docx,-0.122643717
Intro_Bernstein_08_Autism.docx,-0.148803828
Intro_Bernstein_09_Autism_v2.docx,0.14311828
Intro_Bernstein_10_Autism.docx,0.168915492
Intro_Coon_10_Autism.docx,0.132276295
Intro_Coon_11_Autism.docx,0.093337632
Intro_Coon_13_Autism_v2.docx,0.045271341
Intro_Coon_14_Autism.docx,0.160216966
Intro_Griggs_03_Autism.docx,0.512195599
Intro_Griggs_04_Autism.docx,0.441238821
Intro_Griggs_05_Autism.docx,0.41477528
Intro_Kalat_09_Autism.docx,0.158938947
Intro_Kalat_10_Autism.docx,0.174839302
Intro_Kalat_11_Autism.docx,0.145704028
Intro_Morris_07_Autism.docx,-0.082329625
Intro_Morris_08_Autism.docx,0.021865287
Intro_Morris_09_Autism.docx,-0.139818823
Intro_Morris_10_Autism.docx,0.021351445
Intro_Morris_11_Autism.docx,0.160322256
Intro_Myers_07_Autism_v2.docx,0.266507937
Intro_Myers_08_Autism.docx,0.313203213
Intro_Myers_09_Autism.docx,0.292381459
Intro_Myers_10_Autism.docx,0.257789502
Intro_Myers_11_Autism.docx,0.1084296
Intro_Rathus_05_Autism.docx,0.155200946
Intro_Wade_08_Autism.docx,0.150595561
Intro_Wade_12_Autism.docx,0.160460502
Intro_Weiten_06_Autism.docx,0.52242921
Intro_Weiten_08_Autism.docx,0.257532219
Intro_Weiten_10_Autism.docx,0.090728422
Neuro_Bear_03_Autism.docx,0.231706284
Neuro_Bear_04_Autism.docx,0.213173531
Neuro_Breedlove_05_Autism.docx,0.225173364
Neuro_Breedlove_06_Autism.docx,0.234605549
Neuro_Breedlove_07_Autism_v2.docx,0.216543261
Neuro_Breedlove_08_Autism.docx,0.119316452
Neuro_Carlson_09_Autism.docx,0.181110888
Neuro_Carlson_10_Autism_v2.docx,0.188436828
Neuro_Carlson_11_Autism_v2.docx,0.192150755
Neuro_Carlson_12_Autism.docx,0.151612919
Neuro_Garrett_02_Autism.docx,0.208575189
Neuro_Garrett_03_Autism.docx,0.202459995
Neuro_Garrett_04_Autism_v2.docx,0.196724668
Neuro_Garrett_05_Autism.docx,0.177387768
Neuro_Johnson_01_Autism.docx,0.068175971
Neuro_Johnson_02_Autism_v2.docx,0.086068758
Neuro_Johnson_03_Autism.docx,0.141548171
Neuro_Johnson_04_Autism.docx,0.173672236
Neuro_Kalat_10_Autism.docx,0.124503367
Neuro_Kalat_11_Autism.docx,0.427652934
Neuro_Kalat_12_Autism.docx,0.101733259
Neuro_Kolb_04_Autism.docx,0.10440749
Neuro_Kolb_05_Autism.docx,0.134805832
Neuro_Kolb_06_Autism_v2.docx,0.109884833
Neuro_Kolb_07_Autism.docx,0.104648829
Neuro_Pinel_07_Autism.docx,0.16950556
Neuro_Pinel_08_Autism.docx,0.12244942
Neuro_Pinel_09_Autism.docx,0.117687715
Neuro_Pinel_10_Autism.docx,0.112539632
Neuro_Reisberg_06_Autism.docx,0.56573064
Socl_Aronson_08_Autism.docx,0.545402299
Socl_Aronson_09_Autism.docx,0.405072705
Socl_Baumeister_04_Autism.docx,0.148752806
Socl_Branscombe_14_Autism.docx,0.310060927
Socl_Gilovich_02_Autism.docx,0.41939318
Socl_Gilovich_03_Autism.docx,0.467676768
Socl_Gilovich_04_Autism.docx,0.354471286
Socl_Gruman_03_Autism.docx,0.225590909
Socl_Myers_12_Autism.docx,0.08698092
Socl_Rogers_02_Autism.docx,0.218974339
Socl_Rogers_03_Autism.docx,0.212734273
Socl_Rogers_04_Autism.docx,0.21705159
