Textbook,Score
Abn_Barlow_04_Autism_v2.docx,-0.01614514
Abn_Barlow_05_Autism_v2.docx,0.002431118
Abn_Barlow_06_Autism_v2.docx,0.004941985
Abn_Barlow_07_Autism.docx,0.000952381
Abn_Barlow_08_Autism.docx,-0.022442589
Abn_Brown_01_Autism_v2.docx,-0.041834968
Abn_Brown_02_Autism_v2.docx,-0.044657999
Abn_Brown_03_Autism_v2.docx,-0.045238095
Abn_Brown_04_Autism_v2.docx,-0.03641055
Abn_Brown_05_Autism.docx,0.005042017
Abn_Comer_05_Autism_v2.docx,0.012598992
Abn_Comer_06_Autism_v2.docx,0.02052323
Abn_Comer_07_Autism_v2.docx,0.022284725
Abn_Comer_08_Autism_v2.docx,-0.012387981
Abn_Comer_09_Autism.docx,-0.006714226
Abn_Hooley_13_Autism_v2.docx,-0.025408348
Abn_Hooley_14_Autism_v2.docx,-0.027027027
Abn_Hooley_15_Autism_v2.docx,-0.018821604
Abn_Hooley_16_Autism_v2.docx,-0.018995493
Abn_Hooley_17_Autism.docx,-0.033316271
Abn_Kearney_06_Autism.docx,-0.019702277
Abn_Mash_02_Autism_v2.docx,0.023268402
Abn_Mash_03_Autism_v2.docx,0.022156542
Abn_Mash_04_Autism_v2.docx,0.021409783
Abn_Mash_05_Autism_v2.docx,0.015445904
Abn_Mash_06_Autism.docx,0.002196861
Abn_Nevid_06_Autism_v2.docx,0.0048
Abn_Nevid_07_Autism.docx,0.006476684
Abn_Nevid_08_Autism_v2.docx,0.024982407
Abn_Nevid_09_Autism_v2.docx,0.030802738
Abn_Nevid_10_Autism.docx,-0.018573551
Abn_Nolen-Hoeksema_03_Autism_v2.docx,0.025748503
Abn_Nolen-Hoeksema_04_Autism.docx,0.030526316
Abn_Nolen-Hoeksema_05_Autism_v2.docx,-0.003144654
Abn_Nolen-Hoeksema_06_Autism_v2.docx,-0.003728814
Abn_Nolen-Hoeksema_07_Autism.docx,-0.054672447
Abn_Sue_07_Autism_v2.docx,-0.060412758
Abn_Sue_08_Autism_v2.docx,-0.056019485
Abn_Sue_09_Autism_v2.docx,-0.059685864
Abn_Sue_10_Autism_v2.docx,0.000770416
Abn_Sue_11_Autism.docx,0.004712218
Abn_Whitbourne_04_Autism_v2.docx,-0.022506083
Abn_Whitbourne_05_Autism_v2.docx,-0.02394822
Abn_Whitbourne_06_Autism_v2.docx,0.000664011
Abn_Whitbourne_07_Autism_v2.docx,0.013049013
Abn_Whitbourne_08_Autism.docx,-0.0155902
Devo_Berger_05_Autism.docx,-0.002347418
Devo_Berger_06_Autism_v2.docx,-0.097387173
Devo_Berger_07_Autism.docx,-0.082650273
Devo_Berger_08_Autism.docx,-0.121382637
Devo_Berger_09_Autism.docx,-0.108323133
Devo_Berger_10_Autism.docx,-0.064559216
Devo_Berk_03_Autism.docx,-0.004702194
Devo_Berk_04_Autism.docx,-0.037921348
Devo_Berk_05_Autism.docx,-0.02303263
Devo_Berk_06_Autism.docx,-0.005586592
Devo_Berk_07_Autism.docx,0.02970297
Devo_Berk_08_Autism.docx,0.020390824
Devo_Bornstein_02_Autism.docx,0.04109589
Devo_Bornstein_03_Autism.docx,0.052123552
Devo_Bornstein_04_Autism.docx,-0.077777778
Devo_Bornstein_05_Autism.docx,-0.049295775
Devo_Bornstein_06_Autism.docx,-0.047619048
Devo_Bornstein_07_Autism.docx,0.034596376
Devo_Feldman_04_Autism.docx,-0.358108108
Devo_Feldman_05_Autism.docx,-0.188976378
Devo_Feldman_06_Autism.docx,-0.063765182
Devo_Feldman_07_Autism.docx,-0.058900524
Devo_Feldman_08_Autism.docx,-0.124637681
Devo_Kail_07_Autism.docx,0.074
Devo_Miller_06_Autism.docx,0.079710145
Devo_Newman_13_Autism.docx,0.013297872
Devo_Santrock_12_Autism_v2.docx,-0.081352834
Devo_Santrock_13_Autism_v2.docx,-0.054918033
Devo_Santrock_14_Autism_v2.docx,-0.057503506
Devo_Santrock_15_Autism.docx,-0.065926893
Devo_Santrock_16_Autism.docx,-0.062179122
Devo_Sigelman_04_Autism_v2.docx,0.019078947
Devo_Sigelman_05_Autism.docx,0.045765878
Devo_Sigelman_06_Autism.docx,0.04157839
Devo_Sigelman_07_Autism.docx,0.054067971
Devo_Sigelman_08_Autism.docx,0.021586345
Devo_Sigelman_09_Autism.docx,0.019213382
GS_Newman_03_Autism.docx,0.182692308
GS_Rothenberg_10_Autism.docx,0.013888889
GS_Wood_12_Autism.docx,0.227272727
HS_Carroll_05_Autism.docx,0.064885496
HS_Crooks_11_Autism.docx,0.207964602
HS_Crooks_13_Autism.docx,0.19379845
HS_Hyde_13_Autism.docx,-0.015037594
HS_LeVay_02_Autism.docx,-0.048192771
HS_LeVay_03_Autism.docx,0.023913043
HS_Yarber_09_Autism.docx,0.019230769
Intro_Bernstein_06_Autism.docx,-0.105566219
Intro_Bernstein_07_Autism_v2.docx,-0.126838235
Intro_Bernstein_08_Autism.docx,-0.203947368
Intro_Bernstein_09_Autism_v2.docx,-0.006451613
Intro_Bernstein_10_Autism.docx,-0.050925926
Intro_Coon_10_Autism.docx,-0.120817844
Intro_Coon_11_Autism.docx,-0.085106383
Intro_Coon_13_Autism_v2.docx,-0.191176471
Intro_Coon_14_Autism.docx,0.016581633
Intro_Griggs_03_Autism.docx,0.081395349
Intro_Griggs_04_Autism.docx,0.133757962
Intro_Griggs_05_Autism.docx,0.138413686
Intro_Kalat_09_Autism.docx,0.008849558
Intro_Kalat_10_Autism.docx,0.001976285
Intro_Kalat_11_Autism.docx,-0.09186747
Intro_Morris_07_Autism.docx,-0.10443038
Intro_Morris_08_Autism.docx,-0.105769231
Intro_Morris_09_Autism.docx,-0.125
Intro_Morris_10_Autism.docx,-0.047021944
Intro_Morris_11_Autism.docx,-0.018126888
Intro_Myers_07_Autism_v2.docx,0.093650794
Intro_Myers_08_Autism.docx,0.020833333
Intro_Myers_09_Autism.docx,0.002066116
Intro_Myers_10_Autism.docx,0.022321429
Intro_Myers_11_Autism.docx,0.004143646
Intro_Rathus_05_Autism.docx,0.053191489
Intro_Wade_08_Autism.docx,-0.059139785
Intro_Wade_12_Autism.docx,0.004525128
Intro_Weiten_06_Autism.docx,-0.049180328
Intro_Weiten_08_Autism.docx,0.068965517
Intro_Weiten_10_Autism.docx,-0.028557491
Neuro_Bear_03_Autism.docx,-0.089820359
Neuro_Bear_04_Autism.docx,0.007739938
Neuro_Breedlove_05_Autism.docx,0.004702194
Neuro_Breedlove_06_Autism.docx,0.007911392
Neuro_Breedlove_07_Autism_v2.docx,0.019230769
Neuro_Breedlove_08_Autism.docx,-0.060665362
Neuro_Carlson_09_Autism.docx,-0.031473916
Neuro_Carlson_10_Autism_v2.docx,-0.006393632
Neuro_Carlson_11_Autism_v2.docx,-0.014114763
Neuro_Carlson_12_Autism.docx,-0.009206799
Neuro_Garrett_02_Autism.docx,0.027833669
Neuro_Garrett_03_Autism.docx,0.02
Neuro_Garrett_04_Autism_v2.docx,0.010477299
Neuro_Garrett_05_Autism.docx,0.015664962
Neuro_Johnson_01_Autism.docx,-0.017366136
Neuro_Johnson_02_Autism_v2.docx,-0.021403509
Neuro_Johnson_03_Autism.docx,-0.004393673
Neuro_Johnson_04_Autism.docx,0.00046282
Neuro_Kalat_10_Autism.docx,0.095833333
Neuro_Kalat_11_Autism.docx,0.056179775
Neuro_Kalat_12_Autism.docx,-0.014548239
Neuro_Kolb_04_Autism.docx,-0.058536585
Neuro_Kolb_05_Autism.docx,0.02303263
Neuro_Kolb_06_Autism_v2.docx,-0.009469697
Neuro_Kolb_07_Autism.docx,-0.0030012
Neuro_Pinel_07_Autism.docx,0
Neuro_Pinel_08_Autism.docx,-0.015486726
Neuro_Pinel_09_Autism.docx,-0.013728324
Neuro_Pinel_10_Autism.docx,0.009334889
Neuro_Reisberg_06_Autism.docx,0.12
Socl_Aronson_08_Autism.docx,-0.068965517
Socl_Aronson_09_Autism.docx,-0.065934066
Socl_Baumeister_04_Autism.docx,-0.036111111
Socl_Branscombe_14_Autism.docx,-0.03968254
Socl_Gilovich_02_Autism.docx,-0.041353383
Socl_Gilovich_03_Autism.docx,0.154411765
Socl_Gilovich_04_Autism.docx,0.052447552
Socl_Gruman_03_Autism.docx,0.0925
Socl_Myers_12_Autism.docx,0.011111111
Socl_Rogers_02_Autism.docx,0.061357702
Socl_Rogers_03_Autism.docx,0.043564356
Socl_Rogers_04_Autism.docx,0.045396419
Socl_Zastrow_08_Autism.docx,-0.261029412
Socl_Zastrow_09_Autism.docx,-0.214285714
Socl_Zastrow_10_Autism.docx,-0.218373494
Spcl_Friend_01_Autism_v2.docx,0.006077268
Spcl_Friend_02_Autism_v2.docx,0.008219178
Spcl_Friend_03_Autism_v2.docx,0.002555238
Spcl_Friend_04_Autism_v2.docx,0.008766533
Spcl_Friend_05_Autism.docx,0.020211196
Spcl_Gargiulo_02_Autism_v2.docx,0.02138066
Spcl_Gargiulo_03_Autism_v2.docx,0.003081232
Spcl_Gargiulo_04_Autism.docx,0.005918106
Spcl_Gargiulo_05_Autism_v2.docx,0.002326073
Spcl_Gargiulo_06_Autism.docx,-0.020977011
Spcl_Hardman_08_Autism_v2.docx,0.021809787
Spcl_Hardman_09_Autism_v2.docx,0.001340083
Spcl_Hardman_10_Autism_v2.docx,-0.007555839
Spcl_Hardman_11_Autism.docx,0.027405105
Spcl_Hardman_12_Autism.docx,0.035315732
Spcl_Heward_07_Autism.docx,0.003249567
Spcl_Heward_08_Autism_v2.docx,0.037590328
Spcl_Heward_09_Autism_v2.docx,0.047859116
Spcl_Heward_10_Autism_v2.docx,0.04512395
Spcl_Heward_11_Autism.docx,0.034963674
Spcl_Kuder_01_Autism_v2.docx,-0.011618141
Spcl_Kuder_02_Autism_v2.docx,-0.012921206
Spcl_Kuder_03_Autism_v2.docx,-0.002092431
Spcl_Kuder_04_Autism_v2.docx,-0.000277393
Spcl_Kuder_05_Autism.docx,0.016131674
Spcl_Lewis_05_Autism.docx,-0.00152207
Spcl_Lewis_06_Autism.docx,0.005185185
Spcl_Lewis_07_Autism_v2.docx,0.042988741
Spcl_Lewis_08_Autism.docx,0.040189125
Spcl_Lewis_09_Autism.docx,0.076495132
Spcl_Overton_04_Autism.docx,-0.024390244
Spcl_Overton_06_Autism.docx,0.012995896
Spcl_Overton_07_Autism.docx,-0.024832215
Spcl_Overton_08_Autism.docx,-0.004697987
Spcl_Smith_03_Autism_v2.docx,0.023679799
Spcl_Smith_04_Autism_v2.docx,0.041417395
Spcl_Smith_05_Autism_v2.docx,0.049042368
Spcl_Smith_06_Autism_v2.docx,0.046313326
Spcl_Smith_07_Autism_v2.docx,0.032685512
Spcl_Turnbull_04_Autism_v2.docx,0.01934201
Spcl_Turnbull_05_Autism_v2.docx,0.04486456
Spcl_Turnbull_06_Autism_v2.docx,0.07809301
Spcl_Turnbull_07_Autism_v2.docx,0.044876204
Spcl_Turnbull_08_Autism.docx,0.036095824
Spcl_Vaughn_03_Autism_v2.docx,-0.026834611
Spcl_Vaughn_04_Autism_v2.docx,0.063072378
Spcl_Vaughn_05_Autism_v2.docx,0.060376471
Spcl_Vaughn_06_Autism_v2.docx,0.063403908
Spcl_Vaughn_07_Autism.docx,0.046428016
