Textbook,Score
Abn_Barlow_04_Transgender_v2.docx,-0.022798867
Abn_Barlow_05_Transgender_v2.docx,-0.025626424
Abn_Barlow_06_Transgender_v2.docx,0.006369427
Abn_Barlow_07_Transgender_v2.docx,-0.062992126
Abn_Barlow_08_Transgender.docx,-0.009465215
Abn_Brown_05_Transgender.docx,-0.015873016
Abn_Comer_05_Transgender_v2.docx,-0.066390041
Abn_Comer_06_Transgender.docx,-0.08131177
Abn_Comer_07_Transgender.docx,-0.07924268
Abn_Comer_08_Transgender_v2.docx,-0.106646825
Abn_Comer_09_Transgender.docx,-0.070256793
Abn_Hooley_13_Transgender.docx,-0.029781421
Abn_Hooley_14_Transgender_v2.docx,-0.052858906
Abn_Hooley_15_Transgender_v2.docx,-0.016288952
Abn_Hooley_16_Transgender_v2.docx,-0.010621558
Abn_Hooley_17_Transgender.docx,-0.033677121
Abn_Kearney_06_Transgender.docx,-0.057239057
Abn_Mash_02_Transgender.docx,-0.053645525
Abn_Mash_05_Transgender.docx,-0.123287671
Abn_Mash_06_Transgender.docx,-0.073042648
Abn_Nevid_08_Transgender_v2.docx,-0.008466848
Abn_Nevid_09_Transgender.docx,-0.088533541
Abn_Nevid_10_Transgender.docx,-0.043756397
Abn_Nolen-Hoeksema_03_Transgender.docx,-0.104336043
Abn_Nolen-Hoeksema_04_Transgender.docx,-0.117056856
Abn_Nolen-Hoeksema_05_Transgender.docx,-0.095522388
Abn_Nolen-Hoeksema_06_Transgender.docx,-0.090909091
Abn_Nolen-Hoeksema_07_Transgender.docx,-0.03120173
Abn_Sue_07_Transgender_v2.docx,-0.016942771
Abn_Sue_08_Transgender_v2.docx,-0.038651316
Abn_Sue_09_Transgender_v2.docx,-0.017036655
Abn_Sue_10_Transgender_v2.docx,-0.046691871
Abn_Sue_11_Transgender.docx,-0.011601286
Abn_Whitbourne_04_Transgender.docx,-0.006655574
Abn_Whitbourne_05_Transgender_v2.docx,0.019557823
Abn_Whitbourne_06_Transgender.docx,-0.059633028
Abn_Whitbourne_07_Transgender_v2.docx,-0.078514096
Abn_Whitbourne_08_Transgender.docx,-0.0549075
Devo_Berger_05_Transgender.docx,0.062334218
Devo_Berger_06_Transgender.docx,0.033333333
Devo_Berger_07_Transgender.docx,0.113065327
Devo_Berger_08_Transgender.docx,0.053269122
Devo_Berger_09_Transgender.docx,0.067650677
Devo_Berger_10_Transgender.docx,0.036876356
Devo_Berk_08_Transgender.docx,0.077125265
Devo_Bornstein_02_Transgender.docx,-0.047169811
Devo_Bornstein_04_Transgender_v2.docx,0.035885167
Devo_Bornstein_05_Transgender_v2.docx,0.071825397
Devo_Bornstein_07_Transgender.docx,0.086400893
Devo_Feldman_03_Transgender.docx,0.139622642
Devo_Feldman_04_Transgender_v2.docx,0.082877248
Devo_Feldman_05_Transgender_v2.docx,0.058800316
Devo_Feldman_06_Transgender_v2.docx,0.068232167
Devo_Feldman_07_Transgender.docx,0.064823108
Devo_Feldman_08_Transgender.docx,0.070645554
